Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
39	Reesham	SQUAWK	Horde	107.2	40	Feb 19	1:02:55	Tribal War Feathers (12960)	Quicksilver Pendant (12026)	Living Shoulders (15061)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Seal of Rivendare (13345)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Brightly Glowing Stone (18523)	N/A
40	Reulon	SQUAWK	Horde	106.7	40	Feb 6	51:33	Green Lens (10504)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Red Dragonscale Breastplate (15047)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	Waterspout Boots (18322)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Gnomish Battle Chicken (10725)	Shard of the Scale (17064)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
41	Tball	Bricked Up	Horde	106.7	39	Mar 6	1:38:39	Champion's Mail Headguard (23259)	Frostwolf Legionnaire's Pendant (19095)	Champion's Mail Pauldrons (23260)	Legionnaire's Mail Hauberk (22876)	Frostwolf Mail Belt (19088)	Devilsaur Leggings (15062)	Sabatons of the Flamewalker (19144)	First Sergeant's Mail Wristguards (16532)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	The Unstoppable Force (19323)	N/A	N/A
42	Taysak	Lowkey	Horde	104.9	38	Feb 8	1:40:21	Earthfury Helmet (16842)	Vanadium Talisman (12024)	Cyclone Spaulders (18528)	Mindsurge Robe (18532)	Foresight Girdle (13387)	Spiritshroud Leggings (12965)	Dragonrider Boots (18102)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Rosewine Circle (13178)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Sorcerous Dagger (18878)	Brightly Glowing Stone (18523)	N/A
43	Gollian	N/A	Unknown	103.2	39	Feb 14	2:26:17	Backwood Helm (18421)	Woven Ivy Necklace (19159)	Demonic Runed Spaulders (13257)	Legionnaire's Mail Hauberk (22876)	Bloodmail Belt (14614)	Legplates of Ten Storms (16946)	Bloodmail Boots (14616)	Slashclaw Bracers (13211)	Voone's Vice Grips (13963)	Don Julio's Band (19325)	Band of Rumination (18103)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	The Unstoppable Force (19323)	N/A	N/A
44	Romir	THREATCAPPED	Horde	100.8	40	Feb 6	53:47	Green Lens (10504)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Bloodmail Hauberk (14611)	Bloodmail Belt (14614)	Ghoul Skin Leggings (18682)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Dracorian Gauntlets (13344)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Mindtap Talisman (18371)	Briarwood Reed (12930)	Hide of the Wild (18510)	Sorcerous Dagger (18878)	The Immovable Object (19321)	N/A
45	Strohhut	N/A	Unknown	100.8	40	Jan 16	1:44:17	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Tombstone Breastplate (13944)	Girdle of Beastial Fury (11686)	Beaststalker's Pants (16678)	Sabatons of the Flamewalker (19144)	Blackmist Armguards (12966)	Voone's Vice Grips (13963)	Cyclopean Band (11824)	Band of Flesh (13373)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Blisterbane Wrap (12552)	Gravestone War Axe (13983)	N/A	N/A
46	Ewoq	N/A	Unknown	100.5	41	Mar 10	1:05:34	Helm of Latent Power (18807)	Frostwolf Advisor's Pendant (19096)	Champion's Mail Pauldrons (23260)	Earthfury Vestments (16841)	Cord of Elements (16673)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Bindings of Elements (16671)	Blood Guard's Mail Vices (22867)	Rosewine Circle (13178)	Cyclopean Band (11824)	Briarwood Reed (12930)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Mastersmith's Hammer (18048)	Malistar's Defender (17106)	N/A
47	Voo	N/A	Unknown	100.5	40	Feb 7	3:03:45	Green Lens (10504)	Barbed Thorn Necklace (18289)	Burial Shawl (18681)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Luminary Kilt (11823)	Waterspout Boots (18322)	Magnificent Bracers (15668)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Mark of the Dragon Lord (13143)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Masterwork Cape (10267)	Staff of Dominance (18842)	N/A	N/A
48	전변호사	N/A	Unknown	100.5	40	Feb 15	2:35:37	Crimson Felt Hat (18727)	Tooth of Gnarr (13141)	Kentic Amice (11624)	Astoria Robes (15824)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Ogreseer Fists (11665)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Heliotrope Cloak (18496)	Gift of the Elven Magi (13360)	Tome of Knowledge (13385)	N/A
