Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
57	Fishy	Scuba Cops	Horde	92.3	40	May 16	25:58	Crown of Tyranny (13359)	Eskhandar's Collar (18205)	Warlord's Mail Spaulders (16580)	Runed Bloodstained Hauberk (19904)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Blood Guard's Mail Greaves (22857)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Might of the Tribe (22712)	High Warlord's Battle Axe (18831)	N/A	Egan's Blaster (13289)
58	Ðonphan	N/A	Unknown	90.1	37	Apr 28	1:18:18	Helmet of Ten Storms (16947)	Frostwolf Advisor's Pendant (19096)	Champion's Mail Pauldrons (23260)	Mindsurge Robe (18532)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of the Full Moon (18507)	Flarecore Wraps (18263)	Earthfury Gauntlets (16839)	Emerald Flame Ring (18395)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18471)	Shard of the Splithooves (10659)	Hide of the Wild (18510)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	N/A
59	Sevsaro	N/A	Unknown	90.0	40	Apr 19	52:47	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Rosewine Circle (13178)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
60	Aesara	Progress	Horde	89.5	40	Apr 29	17:43	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Warlord's Mail Spaulders (16580)	Warlord's Mail Armor (16577)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Sorcerous Dagger (18878)	Lei of the Lifegiver (19312)	N/A
61	Famdoodlebop	bipolar	Horde	89.1	38	May 12	33:19	Helmet of Ten Storms (16947)	Frostwolf Advisor's Pendant (19096)	Champion's Mail Pauldrons (23260)	Red Dragonscale Breastplate (15047)	Mana Igniting Cord (19136)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Earthfury Bracers (16840)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Sapphiron Drape (17078)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
62	Affect	Vintage	Horde	89.0	39	Jul 7	48:34	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Boots of Pure Thought (19437)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Band of Servitude (22721)	Ring of Blackrock (19397)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
63	Secutore	Regulators	Horde	88.3	40	Jun 28	53:10	Earthfury Helmet (16842)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Bracers of Ten Storms (16943)	Earthfury Gauntlets (16839)	Primalist's Seal (19863)	Primalist's Band (19920)	Mar'li's Eye (19930)	Darkmoon Card: Blue Dragon (19288)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
64	Dynnyn	AV RANKER	Horde	87.4	40	Apr 27	44:46	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Epaulets of Ten Storms (16945)	Earthfury Vestments (16841)	Whipvine Cord (18327)	Ghoul Skin Leggings (18682)	Greaves of Ten Storms (16949)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Eye of Orgrimmar (12545)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	The Hammer of Grace (11923)	Thaurissan's Royal Scepter (11928)	N/A
65	Cano	Dreamstate	Horde	87.0	40	Jun 12	20:59	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Betrayer's Boots (19897)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Fordring's Seal (16058)	Rejuvenating Gem (19395)	Natural Alignment Crystal (19344)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Red Dragonscale Protector (19348)	Egan's Blaster (13289)
66	Koomladen	N/A	Unknown	86.1	39	Apr 8	45:27	Earthfury Helmet (16842)	Triune Amulet (7722)	Black Brood Pauldrons (19373)	Earthfury Vestments (16841)	Feralsurge Girdle (18104)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Flaming Band (12926)	Band of Rumination (18103)	Eye of the Beast (13968)	Essence of the Pure Flame (18815)	Chieftain's Cloak (9951)	Hyperthermically Insulated Lava Dredger (18803)	N/A	N/A
