Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
79	Pendwar	casuals	Alliance	1,218.0	39	Jun 16	27:49	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Bracelets of Wrath (16959)	Marshal's Plate Gauntlets (16484)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Longsword (12584)	Striker's Mark (17069)
80	Troutmaster	SQUAWK	Horde	1,215.3	39	Jul 6	47:41	Champion's Plate Helm (23244)	Medallion of Steadfast Might (17065)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Mugger's Belt (18505)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Aged Core Leather Gloves (18823)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Puissant Cape (18541)	Core Hound Tooth (18805)	High Warlord's Razor (18840)	Gurubashi Dwarf Destroyer (19853)
81	Primthree	SQUAWK	Horde	1,210.7	40	Jun 12	40:25	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Circle of Applied Force (19432)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	Thunderfury, Blessed Blade of the Windseeker (19019)	High Warlord's Blade (16345)	Blastershot Launcher (17072)
82	Lillaegon	BENT BANANA Pug	Alliance	1,209.8	40	Jun 23	25:18	Field Marshal's Plate Helm (16478)	Amulet of the Darkmoon (19491)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Berserker Bracers (19578)	Marshal's Plate Gauntlets (16484)	Band of Accuria (17063)	Archimtiros' Ring of Reckoning (19376)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cloak of the Shrouded Mists (17102)	Thunderfury, Blessed Blade of the Windseeker (19019)	Maladath, Runed Blade of the Black Flight (19351)	Blastershot Launcher (17072)
83	Virtuafury	The Imperium	Horde	1,209.7	39	Jun 27	34:20	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Quickblade (23467)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
84	Kallemask	The Pond pug	Horde	1,209.5	40	May 17	42:32	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Dragonbreath Hand Cannon (19368)
85	Newgerm	N/A	Unknown	1,209.3	40	Jun 25	28:31	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	High Warlord's Quickblade (23467)	High Warlord's Quickblade (23467)	Dragonbreath Hand Cannon (19368)
86	Lilshew	and he say me i noob LOL	Alliance	1,208.2	40	Jun 5	32:14	Lieutenant Commander's Plate Helmet (23314)	Quicksilver Pendant (12026)	Lieutenant Commander's Plate Shoulders (23315)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	Marshal's Plate Boots (16483)	Bracers of Might (16861)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of Firemaw (19398)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Longsword (12584)	Heartstriker (19350)
87	Icewarriors	N/A	Unknown	1,207.6	40	May 15	43:00	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of True Flight (18812)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cloak of the Shrouded Mists (17102)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Heartstriker (19350)
88	Mea	N/A	Unknown	1,207.1	40	Jul 7	36:53	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Might of the Tribe (22712)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
