Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
63	Ebonmight	SQUAWK	Horde	2,107.4	40	Jul 8	1:15:05	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Warlord's Plate Shoulders (16544)	Hyperion Armor (10384)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Gordok Bracers of Power (18533)	Blood Guard's Plate Gauntlets (22868)	Master Dragonslayer's Ring (19384)	Circle of Applied Force (19432)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Might of the Tribe (22712)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
64	Kobli	wiggle	Horde	2,104.4	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
65	Awfull	Smooth	Horde	2,100.4	40	Jun 27	51:28	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Might of the Tribe (22712)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
66	Guárd	GG	Horde	2,099.3	40	Jun 10	1:00:8	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
67	Shinraz	wiggle	Horde	2,094.4	40	Jul 3	51:58	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Windshear Cape (20691)	Deathbringer (17068)	Crul'shorukh, Edge of Chaos (19363)	Bloodseeker (19107)
68	Ogo	Smooth	Horde	2,091.5	40	May 16	53:18	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	General's Plate Gauntlets (16548)	Blackstone Ring (17713)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Striker's Mark (17069)
69	Joizy	wiggle	Horde	2,089.7	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
70	Thunderw	N/A	Unknown	2,087.9	39	Jun 23	38:59	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	Chromatic Boots (19387)	Gordok Bracers of Power (18533)	Flameguard Gauntlets (19143)	Obsidian Band (12004)	Blackstone Ring (17713)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
71	Runit	SQUAWK	Horde	2,087.8	40	Jun 12	40:25	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
72	Simley	Smooth	Horde	2,087.5	40	May 16	53:18	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Razor (18840)	Bloodseeker (19107)
73	Braila	SQUAWK	Horde	2,086.0	40	Jul 8	48:38	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Hyperion Armor (10384)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Satyr's Bow (18323)
74	Krypts	SQUAWK	Horde	2,083.7	41	Jun 25	1:01:47	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
75	Notkrums	wiggle	Horde	2,083.1	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
76	Thunderw	N/A	Unknown	2,083.0	38	Jun 16	35:37	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
77	Chozz	Smooth	Horde	2,079.8	40	Jun 20	48:31	Lionheart Helm (12640)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Sacrificial Gauntlets (22714)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
78	Evolution	그그	Horde	2,076.6	40	Jun 29	1:00:17	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Sacrificial Gauntlets (22714)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
79	Tigak	Smooth	Horde	2,074.9	40	Jun 16	57:17	Champion's Plate Helm (23244)	Will of the Martyr (17044)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Seal of the Gurubashi Berserker (22722)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	High Warlord's Razor (18840)	Striker's Mark (17069)
80	Bäby	wiggle	Horde	2,073.0	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Battleborn Armbraces (12936)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Satyr's Bow (18323)
81	Cyanide	SQUAWK	Horde	2,072.1	40	Jul 8	48:38	Champion's Plate Helm (23244)	Prismatic Pendant (12048)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	Flurry Axe (871)	Gurubashi Dwarf Destroyer (19853)
82	Chonks	SQUAWK	Horde	2,068.1	40	Jun 29	43:52	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Prismatic Band (12017)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
83	Gansit	based	Alliance	2,067.7	40	Jul 6	1:01:22	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Gurubashi Dwarf Destroyer (19853)
84	Bweeders	something to think about	Horde	2,064.1	40	May 21	39:23	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
85	Kamixd	Risen	Horde	2,060.9	40	Jun 20	37:28	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Seal of the Gurubashi Berserker (22722)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
