Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
37	Aarmani	N/A	Unknown	275.8	18	Jun 10	1:03	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Overlord's Onyx Band (19912)	Zandalarian Hero Charm (19950)	Essence of the Pure Flame (18815)	Cloak of the Brood Lord (19378)	Quel'Serrar (18348)	Aegis of the Blood God (19862)	N/A
38	Mysticdance	Affirmative Action	Alliance	272.0	19	May 17	1:14	Lieutenant Commander's Lamellar Headguard (23276)	Jeklik's Opaline Talisman (19923)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Naglering (11669)	Cyclopean Band (11824)	Essence of the Pure Flame (18815)	Zandalarian Hero Charm (19950)	Sergeant's Cape (16342)	Aurastone Hammer (17105)	Intricately Runed Shield (18696)	N/A
39	Rinja	OFFSLAUGHT	Alliance	271.3	19	May 6	1:04	Lionheart Helm (12640)	Eskhandar's Collar (18205)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Knight-Lieutenant's Lamellar Sabatons (23275)	Wristguards of True Flight (18812)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Hand of Justice (11815)	Briarwood Reed (12930)	Dragon's Blood Cape (17107)	Nightfall (19169)	N/A	Egan's Blaster (13289)
40	Draxam	N/A	Unknown	270.6	20	Jul 4	0:58	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Briarwood Reed (12930)	Essence of the Pure Flame (18815)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Skullflame Shield (1168)	Libram of Hope (22401)
41	Luka	N/A	Unknown	265.3	19	May 9	1:16	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Deathbone Girdle (14620)	Bloodsoaked Legplates (19855)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Don Julio's Band (19325)	Overlord's Crimson Band (19873)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Shroud of Pure Thought (19430)	Quel'Serrar (18348)	Malistar's Defender (17106)	N/A
42	Canø	N/A	Unknown	264.6	20	May 21	1:34	Judgment Crown (16955)	Choker of Enlightenment (17109)	Lawbringer Spaulders (16856)	Knight-Captain's Lamellar Breastplate (23272)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Band of Sulfuras (19138)	Blood of the Martyr (17045)	Force of Will (11810)	Burst of Knowledge (11832)	Fireproof Cloak (18811)	Silent Fang (13953)	Drillborer Disk (17066)	N/A
43	Vivalynne	N/A	Unknown	264.2	19	Jun 5	1:11	Soulforge Helm (22091)	Medallion of Steadfast Might (17065)	Soulforge Spaulders (22093)	Knight-Captain's Lamellar Breastplate (23272)	Soulforge Belt (22086)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Soulforge Bracers (22088)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Zanzil's Seal (19893)	Drake Fang Talisman (19406)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Elemental Attuned Blade (20698)	Malistar's Defender (17106)	Libram of Hope (22401)
44	Dareal	N/A	Unknown	264.0	20	May 11	1:00	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Vigorsteel Vambraces (13951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Onyxia Blood Talisman (18406)	Briarwood Reed (12930)	Stoneskin Gargoyle Cape (13397)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
45	Diviné	Defias Rebels	Alliance	259.4	20	May 22	0:54	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lawbringer Spaulders (16856)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Bloodsoaked Greaves (19913)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Naglering (11669)	Zandalarian Hero Charm (19950)	Mark of Tyranny (13966)	Fireproof Cloak (18811)	Quel'Serrar (18348)	Drillborer Disk (17066)	N/A
46	Ingo	N/A	Unknown	258.1	20	May 12	0:47	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Overlord's Onyx Band (19912)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Dragon's Blood Cape (17107)	Lok'amir il Romathis (19360)	Drillborer Disk (17066)	Egan's Blaster (13289)
