Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
80	Talako	N/A	Unknown	46.4	26	Mar 10	2:42	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Salamander Scale Pants (18875)	Dragonrider Boots (18102)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Mindtap Talisman (18371)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
81	Lilsham	N/A	Unknown	46.3	40	Jan 25	1:25	Helm of the Lifegiver (18870)	Tooth of Gnarr (13141)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Verdant Footpads (13954)	Earthfury Bracers (16840)	Gloves of Restoration (18309)	Eye of Orgrimmar (12545)	Cauterizing Band (19140)	Briarwood Reed (12930)	Second Wind (11819)	Deep Woodlands Cloak (19121)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	N/A
82	Habakiri	N/A	Unknown	46.3	36	Mar 13	1:42	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Salamander Scale Pants (18875)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Eye of Orgrimmar (12545)	Rosewine Circle (13178)	Briarwood Reed (12930)	Shard of the Scale (17064)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
83	Rgz	N/A	Unknown	46.0	25	Feb 12	2:45	Green Lens (10504)	Drakefire Amulet (16309)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
84	Dunklekuh	cleanse	Horde	45.9	39	Dec 29	1:46	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Burial Shawl (18681)	Flamestrider Robes (11747)	Thuzadin Sash (18740)	Ghoul Skin Leggings (18682)	Boots of the Shrieker (13398)	Brazecore Armguards (13179)	Gilded Gauntlets (13244)	Seal of Rivendare (13345)	Eye of Orgrimmar (12545)	Argent Dawn Commission (12846)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Trindlehaven Staff (13161)	N/A	Egan's Blaster (13289)
85	Flipcha	N/A	Unknown	45.8	35	Mar 12	2:25	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Royal Cap Spaulders (14548)	Red Dragonscale Breastplate (15047)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18471)	Second Wind (11819)	Fireproof Cloak (18811)	The Hammer of Grace (11923)	Brightly Glowing Stone (18523)	Egan's Blaster (13289)
86	Kxy	KPNS	Horde	45.7	26	Jan 18	4:10	Green Lens (10504)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Foresight Girdle (13387)	Ghoul Skin Leggings (18682)	Earthfury Boots (16837)	Brazecore Armguards (13179)	Fallbrush Handgrips (13184)	Rosewine Circle (13178)	Fordring's Seal (16058)	Gnomish Death Ray (10645)	Goblin Mortar (10577)	Frostwolf Advisor's Cloak (19085)	The Hammer of Grace (11923)	Thaurissan's Royal Scepter (11928)	Egan's Blaster (13289)
87	Ori	N/A	Unknown	45.4	26	Jan 4	5:46	Helmet of Ten Storms (16947)	Tooth of Gnarr (13141)	Splinthide Shoulders (11685)	Robes of the Exalted (13346)	Feralsurge Girdle (18104)	Ghoul Skin Leggings (18682)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Gilded Gauntlets (13244)	Fordring's Seal (16058)	Rosewine Circle (13178)	Eye of the Beast (13968)	Briarwood Reed (12930)	Archivist Cape (13386)	Mastersmith's Hammer (18048)	Thaurissan's Royal Scepter (11928)	N/A
88	Jolanda	GG	Horde	45.2	27	Feb 27	2:32	Helm of the Lifegiver (18870)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Red Dragonscale Breastplate (15047)	Eyestalk Cord (18391)	Padre's Trousers (18386)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Mindtap Talisman (18371)	Briarwood Reed (12930)	Sapphiron Drape (17078)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
89	Skizzers	Ethereal	Horde	45.1	37	Mar 13	1:46	Tribal War Feathers (12960)	Tooth of Gnarr (13141)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Feralsurge Girdle (18104)	Ghoul Skin Leggings (18682)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Rosewine Circle (13178)	Eye of Orgrimmar (12545)	Burst of Knowledge (11832)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Gizlock's Hypertech Buckler (17718)	N/A
