Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
81	Cheesebutt	N/A	Unknown	61.3	18	May 24	0:41	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	Animist's Boots (19892)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Primalist's Seal (19863)	Shard of the Scale (17064)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
82	Sevaer	atrocious pugs	Horde	61.3	20	May 10	0:31	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Epaulets of Ten Storms (16945)	Earthfury Vestments (16841)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Advisor's Ring (19518)	Mindtap Talisman (18371)	Mindtap Talisman (18371)	Gracious Cape (18743)	High Warlord's Battle Mace (23464)	Malistar's Defender (17106)	Egan's Blaster (13289)
83	Bananasham	Better Off Dead	Horde	61.3	17	May 5	1:03	Elegant Circlet (10219)	Tempest Talisman (18317)	Living Shoulders (15061)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Bloodtinged Kilt (19895)	Animist's Boots (19892)	Magiskull Cuffs (13107)	Celestial Handwraps (14314)	Primalist's Band (19920)	Primalist's Seal (19863)	Royal Seal of Eldre'Thalas (18471)	Mar'li's Eye (19930)	Hide of the Wild (18510)	Hypnotic Blade (7714)	Mystical Orb (15938)	N/A
84	Shockington	PREMADE	Horde	61.2	19	Jun 24	0:49	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Boots of Pure Thought (19437)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Fordring's Seal (16058)	Ring of Blackrock (19397)	Shard of the Scale (17064)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Red Dragonscale Protector (19348)	N/A
85	泪洒洒	N/A	Unknown	61.1	20	May 10	1:39	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Earthfury Bracers (16840)	Gauntlets of Ten Storms (16948)	Pure Elementium Band (19382)	Rejuvenating Gem (19395)	Briarwood Reed (12930)	Onyxia Scale Cloak (15138)	Lok'amir il Romathis (19360)	N/A	Malistar's Defender (17106)	N/A
86	Raftershaman	N/A	Unknown	61.1	19	May 12	1:11	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Animist's Spaulders (19928)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Raincaster Drape (12110)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
87	Nicotines	N/A	Unknown	60.9	20	Jul 8	1:09	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Seal (19863)	Ring of Blackrock (19397)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Hakkari Loa Cloak (19870)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
88	Jepen	N/A	Unknown	60.7	20	Jun 20	1:18	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Epaulets of Ten Storms (16945)	Earthfury Vestments (16841)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Band (19920)	Primalist's Seal (19863)	Shard of the Scale (17064)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
89	Ankhu	Nomad	Horde	60.5	20	May 25	1:00	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Padre's Trousers (18386)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Mindtap Talisman (18371)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
90	Faby	N/A	Unknown	60.5	19	May 14	1:32	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Rosewine Circle (13178)	Band of Rumination (18103)	Mar'li's Eye (19930)	Second Wind (11819)	Archivist Cape (13386)	Aurastone Hammer (17105)	Fire Runed Grimoire (19142)	N/A
