Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
25	灬尛陸灬	N/A	Unknown	158.4	39	May 22	47:09	Field Marshal's Lamellar Faceguard (16474)	Medallion of Grand Marshal Morris (13091)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Lawbringer Belt (16858)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Songstone of Ironforge (12543)	Myrmidon's Signet (2246)	Stormpike Insignia Rank 6 (17904)	Royal Seal of Eldre'Thalas (18472)	Hide of the Wild (18510)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	N/A
26	Arthinen	Descendants of Hope	Alliance	156.0	40	May 16	1:10:00	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Deathbone Gauntlets (14622)	Band of Sulfuras (19138)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Elementium Threaded Cloak (19386)	Lok'amir il Romathis (19360)	Malistar's Defender (17106)	N/A
27	Litz	N/A	Unknown	155.6	40	Apr 13	3:03:19	Judgment Crown (16955)	Choker of Enlightenment (17109)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Deathbone Sabatons (14621)	Judgment Bindings (16951)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Songstone of Ironforge (12543)	Onyxia Blood Talisman (18406)	Briarwood Reed (12930)	Redoubt Cloak (18495)	Azuresong Mageblade (17103)	Force Reactive Disk (18168)	N/A
28	Chenguanxi	N/A	Unknown	147.9	40	May 7	47:47	Dark Iron Helm (19148)	Master Dragonslayer's Medallion (19383)	Fireguard Shoulders (19139)	Breastplate of the Chromatic Flight (12895)	Deathbone Girdle (14620)	Dark Iron Leggings (17013)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Dark Iron Gauntlets (19164)	Heavy Dark Iron Ring (18879)	Archimtiros' Ring of Reckoning (19376)	Blazing Emblem (2802)	Onyxia Blood Talisman (18406)	Fireproof Cloak (18811)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
29	Burebista	N/A	Unknown	147.6	40	May 22	52:20	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Archimtiros' Ring of Reckoning (19376)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Stormpike Insignia Rank 6 (17904)	Redoubt Cloak (18495)	Flurry Axe (871)	Drillborer Disk (17066)	Egan's Blaster (13289)
30	Tankadîn	N/A	Unknown	143.3	34	Jun 7	1:58:25	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Don Julio's Band (19325)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Azuresong Mageblade (17103)	Elementium Reinforced Bulwark (19349)	Egan's Blaster (13289)
31	Retribution	N/A	Unknown	140.0	39	Jul 9	1:26:17	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Ring of Spell Power (19147)	Styleen's Impeding Scarab (19431)	Briarwood Reed (12930)	Dragon's Blood Cape (17107)	Quel'Serrar (18348)	Earthen Guard (20688)	Egan's Blaster (13289)
32	Jendaille	Haven	Alliance	138.6	39	Jun 20	1:44:44	Gyth's Skull (12952)	Drakefire Amulet (16309)	Field Marshal's Lamellar Pauldrons (16476)	Hydralick Armor (13067)	Deathbone Girdle (14620)	Flamewaker Legplates (18861)	Marshal's Lamellar Boots (16472)	Dark Iron Bracers (17014)	Lawbringer Gauntlets (16860)	Naglering (11669)	Band of Servitude (22721)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Onyxia Scale Cloak (15138)	Thunderfury, Blessed Blade of the Windseeker (19019)	Skullflame Shield (1168)	N/A
33	鼠胆丶龙威	N/A	Unknown	136.9	40	Jun 26	1:16:16	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Vigorsteel Vambraces (13951)	Deathbone Gauntlets (14622)	Overlord's Crimson Band (19873)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
34	Evilsushi	N/A	Unknown	134.3	40	May 22	1:12:00	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Briarwood Reed (12930)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Quel'Serrar (18348)	Aegis of the Blood God (19862)	N/A
35	奉先骑	N/A	Unknown	129.5	40	Jun 21	1:25:15	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Overlord's Crimson Band (19873)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Redoubt Cloak (18495)	Quel'Serrar (18348)	Elementium Reinforced Bulwark (19349)	N/A
36	Trevpal	Wagyu Wagyu	Alliance	127.8	40	Apr 28	54:34	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Vigorsteel Vambraces (13951)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Don Julio's Band (19325)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Elementium Reinforced Bulwark (19349)	N/A
37	火力指向我	N/A	Unknown	123.4	39	Jun 26	1:26:04	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Peridot Circle (11979)	Overlord's Crimson Band (19873)	Onyxia Blood Talisman (18406)	Ward of the Elements (12065)	Onyxia Scale Cloak (15138)	Fiery Retributer (19968)	Aegis of the Blood God (19862)	Libram of Hope (22401)
38	叹息丶之墙	N/A	Unknown	122.0	40	Jul 3	1:07:06	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Crimson Band (19873)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Azuresong Mageblade (17103)	Earthen Guard (20688)	N/A
39	Jacklame	IDAT	Alliance	121.4	40	Jul 8	1:25:27	Field Marshal's Lamellar Faceguard (16474)	Medallion of Steadfast Might (17065)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Brigam Girdle (13142)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Crimson Band (19873)	Naglering (11669)	Onyxia Blood Talisman (18406)	Force of Will (11810)	Overlord's Embrace (19888)	Grand Marshal's Swiftblade (23456)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
40	莴德发	N/A	Unknown	121.0	40	Jun 29	1:23:16	Judgment Crown (16955)	Talisman of Protection (19871)	Lawbringer Spaulders (16856)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Ring of Spell Power (19147)	Onyxia Blood Talisman (18406)	Briarwood Reed (12930)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Earthen Guard (20688)	N/A
41	말괄량이	N/A	Unknown	119.0	40	May 13	1:05:38	Judgment Crown (16955)	Eskhandar's Collar (18205)	Stockade Pauldrons (14552)	Lightforge Breastplate (16726)	Belt of Shrunken Heads (20213)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Vambraces of the Sadist (13400)	Deathbone Gauntlets (14622)	Naglering (11669)	Blackstone Ring (17713)	Onyxia Blood Talisman (18406)	Zandalarian Hero Badge (19948)	Onyxia Scale Cloak (15138)	Quel'Serrar (18348)	Drillborer Disk (17066)	N/A
42	Zaerik	Haven	Alliance	113.8	39	Jun 20	1:44:44	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Deathbone Girdle (14620)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Naglering (11669)	Songstone of Ironforge (12543)	Force of Will (11810)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Aurastone Hammer (17105)	Aegis of the Blood God (19862)	Egan's Blaster (13289)
43	萌面美痞	N/A	Unknown	109.2	35	May 1	1:31:15	Field Marshal's Lamellar Faceguard (16474)	Master Dragonslayer's Medallion (19383)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Archimtiros' Ring of Reckoning (19376)	Heavy Dark Iron Ring (18879)	Briarwood Reed (12930)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Thunderfury, Blessed Blade of the Windseeker (19019)	Drillborer Disk (17066)	N/A
