Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
11	Stahar	Neverland	Alliance	101.1	39	Jun 23	35:31	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Animist's Boots (19892)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Nifty Stopwatch (2820)	Briarwood Reed (12930)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
12	小阿任	四海公会	Alliance	86.9	40	Mar 31	1:35:03	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Stormpike Cloth Girdle (19094)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Bleak Howler Armguards (13208)	Lawbringer Gauntlets (16860)	Ring of Demonic Guile (18314)	Cyclopean Band (11824)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Cloak of the Cosmos (18389)	Mastersmith's Hammer (18048)	Lei of the Lifegiver (19312)	N/A
13	Roobbpp	N/A	Unknown	86.1	40	Apr 7	35:01	Judgment Crown (16955)	Drakefire Amulet (16309)	Living Shoulders (15061)	Plate of the Shaman King (13168)	Corehound Belt (19162)	Maelstrom Leggings (14522)	Boots of the Shrieker (13398)	Hero's Bracers (8302)	Ogreseer Fists (11665)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Hide of the Wild (18510)	Nightfall (19169)	N/A	N/A
14	Alariic	N/A	Unknown	85.1	40	Jun 6	58:50	Judgment Crown (16955)	Choker of Enlightenment (17109)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Royal Seal of Eldre'Thalas (18472)	Styleen's Impeding Scarab (19431)	Hakkari Loa Cloak (19870)	Grand Marshal's Warhammer (23454)	Grand Marshal's Tome of Restoration (23453)	Libram of Hope (22401)
15	Dij	Fresh Norge	Alliance	83.1	38	Jul 3	34:27	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Marshal's Lamellar Boots (16472)	Loomguard Armbraces (13969)	Herbalist's Gloves (7349)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
16	Convictions	N/A	Unknown	77.8	40	Jun 8	1:27:54	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Magni's Will (12548)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Grand Marshal's Claymore (18876)	N/A	N/A
17	Progdorf	N/A	Unknown	77.3	39	Jun 28	1:04:32	Field Marshal's Lamellar Faceguard (16474)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Marshal's Lamellar Boots (16472)	Gallant's Wristguards (18459)	Judgment Gauntlets (16956)	Fordring's Seal (16058)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18472)	Zandalarian Hero Charm (19950)	Hakkari Loa Cloak (19870)	Flurry Axe (871)	Lei of the Lifegiver (19312)	Libram of Hope (22401)
18	Zultan	N/A	Unknown	75.5	40	Jun 9	1:08:27	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Earthslag Shoulders (11632)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Merciful Greaves (18318)	Judgment Bindings (16951)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Band of Servitude (22721)	Second Wind (11819)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Thaurissan's Royal Scepter (11928)	Libram of Hope (22401)
19	Emjj	Iskall	Alliance	75.4	38	Jun 9	39:08	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Ring of Blackrock (19397)	Fordring's Seal (16058)	Scrolls of Blinding Light (19343)	Royal Seal of Eldre'Thalas (18472)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
20	Sharental	ABC	Alliance	72.8	36	Jul 8	46:02	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Bloodsoaked Pauldrons (19878)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	The Untamed Blade (19334)	N/A	Egan's Blaster (13289)
21	Brosif	Obsidian Empire	Alliance	71.9	39	Jun 30	1:00:50	Judgment Crown (16955)	Onyxia Tooth Pendant (18404)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Don Julio's Band (19325)	Darkmoon Card: Maelstrom (19289)	Scrolls of Blinding Light (19343)	Cloak of the Hakkari Worshippers (22711)	Ancient Hakkari Manslayer (19852)	Therazane's Touch (19315)	N/A
22	Briarix	EXODUS	Alliance	71.8	40	Apr 17	43:04	Judgment Crown (16955)	Choker of Enlightenment (17109)	Wild Growth Spaulders (18810)	Lawbringer Chestguard (16853)	Corehound Belt (19162)	Judgment Legplates (16954)	Lawbringer Boots (16859)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Shard of the Scale (17064)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
23	Hannahqt	N/A	Unknown	70.6	40	Apr 18	30:02	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Magma Tempered Boots (18824)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Ring of Demonic Guile (18314)	Fordring's Seal (16058)	Briarwood Reed (12930)	Shard of the Scale (17064)	Hide of the Wild (18510)	Nightfall (19169)	N/A	N/A
24	Emiya	Shire	Alliance	69.1	40	Apr 4	1:11:38	Commander's Helm (10379)	Tempest Talisman (18317)	Living Shoulders (15061)	Robes of the Exalted (13346)	Judgment Belt (16952)	Salamander Scale Pants (18875)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Harmonious Gauntlets (18527)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Briarwood Reed (12930)	Second Wind (11819)	Nightshade Cloak (10224)	Azuresong Mageblade (17103)	Malistar's Defender (17106)	Egan's Blaster (13289)
25	Strykadin	N/A	Unknown	69.0	40	Jul 7	34:13	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Blackstone Ring (17713)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Obsidian Edged Blade (18822)	N/A	Libram of Hope (22401)
26	Peepohappy	Always Unlucky	Alliance	68.6	40	Jun 23	17:55	Crystal Adorned Crown (19132)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Snowblind Shoes (19131)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Cauterizing Band (19140)	Rejuvenating Gem (19395)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
27	Carmody	Cool Wipe - White	Alliance	67.6	40	Jun 15	14:31	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Robes of the Exalted (13346)	Corehound Belt (19162)	Empowered Leggings (19385)	Snowblind Shoes (19131)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18472)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Torch of Holy Flame (7344)	Egan's Blaster (13289)
