Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
11	Drpounders	Boy's Night	Alliance	370.4	40	Aug 13	1:17:14	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Boots of the Fallen Hero (21688)	Berserker Bracers (19578)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
12	심문	N/A	Unknown	365.2	40	Aug 14	1:55:18	Avenger's Crown (21387)	The Eye of Hakkar (19856)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Hive Defiler Wristguards (21618)	Gauntlets of Annihilation (21581)	Quick Strike Ring (18821)	Ring of the Qiraji Fury (21677)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cloak of Concentrated Hatred (21701)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
13	Spraxx	N/A	Unknown	354.0	40	Aug 3	1:23:49	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Malfurion's Blessed Bulwark (19405)	Triad Girdle (21692)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Might of the Tribe (22712)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
14	Gichtla	N/A	Unknown	350.6	40	Aug 17	1:33:59	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Bracers of Brutality (21457)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
15	Baskasa	N/A	Unknown	349.7	40	Aug 16	1:06:21	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Gauntlets of Annihilation (21581)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
16	Woozyy	Shrimp Gang	Alliance	347.3	40	Aug 14	1:58:35	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Avenger's Legguards (21390)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Painweaver Band (13098)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Might of the Tribe (22712)	Nightfall (19169)	N/A	Libram of Fervor (23203)
17	Volnar	House Telvanni	Alliance	347.1	39	Aug 8	2:02:08	Crown of Destruction (18817)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Onslaught Girdle (19137)	Legguards of the Fallen Crusader (19402)	Slime Kickers (21490)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Master Dragonslayer's Ring (19384)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Fervor (23203)
18	Prarob	Shire	Alliance	342.7	40	Aug 1	2:03:06	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Bracers of Brutality (21457)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
19	Boomin	Smæk	Alliance	342.2	40	Aug 13	1:03:12	Avenger's Crown (21387)	Onyxia Tooth Pendant (18404)	Avenger's Pauldrons (21391)	Malfurion's Blessed Bulwark (19405)	Girdle of the Fallen Crusader (19392)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Vambraces of the Sadist (13400)	Fiery Plate Gauntlets (12631)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Blackveil Cape (11626)	The Untamed Blade (19334)	N/A	Libram of Fervor (23203)
20	Möuldy	Retired	Alliance	341.5	39	Aug 7	2:20:34	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Zandalar Freethinker's Breastplate (19825)	Therazane's Link (19380)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Seal of Jin (19898)	Signet Ring of the Bronze Dragonflight (21204)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cloak of the Shrouded Mists (17102)	Sulfuras, Hand of Ragnaros (17182)	N/A	Libram of Fervor (23203)
