Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
88	Meaniedude	N/A	Unknown	1,482.7	40	Jun 26	37:13	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Mugger's Belt (18505)	Marshal's Leather Leggings (16456)	Bloodfang Boots (16906)	Bloodfang Bracers (16911)	Nightslayer Gloves (16826)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Grand Marshal's Dirk (18838)	Grand Marshal's Swiftblade (23456)	Satyr's Bow (18323)
89	Notmuusa	wiggle 2	Horde	1,482.4	40	Jun 23	49:57	Bloodfang Hood (16908)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Darkmantle Boots (22003)	Zandalar Madcap's Bracers (19836)	Darkmantle Gloves (22006)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	High Warlord's Razor (18840)	Distracting Dagger (18392)	Precisely Calibrated Boomstick (2100)
90	Mothx	Blur	Horde	1,481.5	40	Jul 2	24:33	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Darkmantle Bracers (22004)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Striker's Mark (17069)
91	빵빵한엉덩이	그그	Horde	1,481.2	40	Jun 29	1:00:17	Bloodfang Hood (16908)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Boots of the Shadow Flame (19381)	Zandalar Madcap's Bracers (19836)	Aged Core Leather Gloves (18823)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Hand of Justice (11815)	Zandalarian Hero Medallion (19949)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Striker's Mark (17069)
92	Marbo	WOODDEPARTMENT	Alliance	1,480.6	40	Jun 19	1:02:46	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Bloodfang Boots (16906)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18465)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Grand Marshal's Dirk (18838)	Grand Marshal's Dirk (18838)	Striker's Mark (17069)
93	부양	여고생	Alliance	1,479.9	40	Jul 7	51:18	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Striker's Mark (17069)
94	Progressist	Mirages	Alliance	1,479.8	40	Jun 15	34:00	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Zandalar Madcap's Mantle (19835)	Field Marshal's Leather Chestpiece (16453)	Bloodfang Belt (16910)	Marshal's Leather Leggings (16456)	Blooddrenched Footpads (19906)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Renataki's Charm of Trickery (19954)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Grand Marshal's Dirk (18838)	Grand Marshal's Dirk (18838)	Satyr's Bow (18323)
95	Walla	BENT BANANA Pug	Alliance	1,479.4	40	Jun 23	25:18	Field Marshal's Leather Mask (16455)	Onyxia Tooth Pendant (18404)	Field Marshal's Leather Epaulets (16457)	Field Marshal's Leather Chestpiece (16453)	Bloodfang Belt (16910)	Marshal's Leather Leggings (16456)	Marshal's Leather Footguards (16446)	Forest Stalker's Bracers (19587)	Marshal's Leather Handgrips (16454)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Venomous Totem (19342)	Cape of the Black Baron (13340)	Grand Marshal's Dirk (18838)	Distracting Dagger (18392)	Satyr's Bow (18323)
96	Gono	and he say me i noob LOL	Alliance	1,478.8	40	Jun 11	37:55	Bloodfang Hood (16908)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Field Marshal's Leather Chestpiece (16453)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Dirk (18838)	Grand Marshal's Dirk (18838)	Striker's Mark (17069)
97	Lunchboxx	N/A	Unknown	1,477.2	40	Jun 24	42:19	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Darkmantle Tunic (22009)	Darkmantle Belt (22002)	General's Leather Legguards (16564)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Zulian Tigerhide Cloak (19907)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
98	Gearsecond	all good	Horde	1,476.9	38	Jun 25	36:40	Champion's Leather Helm (23257)	Onyxia Tooth Pendant (18404)	Bloodfang Spaulders (16832)	Legionnaire's Leather Chestpiece (22879)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Striker's Mark (17069)
99	Drulekin	TL	Horde	1,476.0	40	Jul 8	34:01	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Striker's Mark (17069)
100	Rise	Frostwolfclan	Horde	1,474.0	40	May 8	1:06:04	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Darkmantle Tunic (22009)	Darkmantle Belt (22002)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Satyr's Bow (18323)
